,sma_f,sma_s,rsi,sma_r,macd,macdSignal,macdHist,stoch_k,stoch_d,sma_test,macd_test,stoch_over_bought,stoch_over_sold,rsi_over_bought,rsi_over_sold,price,high,low,next_10_high,next_10_low,next_50_high,next_50_low,next_100_high,next_100_low
2018-01-14 14:36:00+00:00,13445.563196273994,13379.881598137,58.16795850123252,46.878259957325454,9.38536066722736,-2.6888214519668563,12.074182119194216,60.39620714628341,57.02749338937141,1,1,0,0,0,0,13456.0,13478.0,13443.0,13481.0,13466.0,13170.0,13133.0,13144.0,13109.0
2018-01-14 14:37:00+00:00,13446.363196273993,13382.691598137,56.398820704142615,48.44496170270521,9.945135827301783,-0.1620299961131284,10.107165823414912,62.20343606194606,60.13496697708894,1,1,0,0,0,0,13450.0,13477.0,13429.0,13473.0,13462.0,13133.0,13051.0,13141.0,13101.0
2018-01-14 14:38:00+00:00,13446.883196273993,13385.891598137001,58.440663881056444,50.40137538842195,10.988319946136471,2.0680399923367916,8.92027995379968,64.78519165574984,62.46161162132694,1,1,0,0,0,0,13459.0,13469.9696328,13451.0,13465.0,13450.0,13116.0,13078.0,13136.0,13108.0
2018-01-14 14:39:00+00:00,13447.383196273993,13389.261598137,63.90215641304323,52.72188857627114,13.834252575466962,4.421282508962825,9.412970066504137,70.86195071758354,65.95019281176032,1,1,0,0,0,0,13486.0,13487.0,13451.0,13469.0,13450.0,13084.0,13050.0,13147.0,13126.0
2018-01-14 14:40:00+00:00,13446.783196273993,13392.481598137,59.53345104558141,54.80181562131535,14.789507455136118,6.494927498197484,8.294579956938634,69.88856136184124,68.51190124505871,1,1,0,0,0,0,13472.0,13489.0,13466.0,13488.0,13454.0,13064.0,13001.0,13148.0,13124.0
2018-01-14 14:41:00+00:00,13445.843196273992,13395.521598137,57.12993191374747,55.91223594523448,14.731208486728065,8.1421836959036,6.589024790824464,67.9993274073899,69.58327982893873,1,1,0,0,0,0,13464.0,13489.0,13456.0,13495.0,13467.0,13021.0,13002.0,13192.0,13148.0
2018-01-14 14:42:00+00:00,13445.343196273992,13398.411598137,62.25792055370083,57.129673725910976,16.511957631289988,9.816138482980879,6.695819148309109,67.77954718760968,68.55581198561411,1,1,0,0,0,0,13489.0,13491.0,13463.0,13494.0,13473.0,13042.0,12955.0,13249.0,13182.0
2018-01-14 14:43:00+00:00,13444.903196273994,13401.251598137,63.0201103975136,58.13267413967303,18.038049324250096,11.460520651234722,6.577528673015374,70.38725693817658,68.72204384439254,1,1,0,0,0,0,13493.0,13493.0,13489.0,13494.0,13482.0,12974.0,12887.0,13254.0,13218.5367092
2018-01-14 14:44:00+00:00,13443.903196273994,13404.301598137,63.613612443871446,59.384851913356485,19.26745963270332,13.021908447528443,6.245551185174879,73.70616025707989,70.62432146095587,1,1,0,0,0,0,13496.0,13500.0,13490.0,13497.0,13488.0,12964.0,12898.0,13221.0,13176.0
2018-01-14 14:45:00+00:00,13442.823196273994,13406.951598137,55.326112432683516,60.29819535224677,17.9370265737125,14.004932072765254,3.9320945009472474,69.10557216592576,71.06632978706124,1,1,0,0,0,0,13470.0,13496.0,13468.0,13494.3805962,13488.2778553,12945.0,12886.0,13227.0,13187.0
2018-01-14 14:46:00+00:00,13442.163196273994,13409.591598137,55.0291662466838,60.381259319036154,16.610481851439545,14.526042028500111,2.0844398229394336,63.90379504634043,68.90517582311585,1,1,0,0,0,0,13469.0,13481.0,13466.0,13491.9394999,13480.0,12957.0,12874.3421245,13222.0,13200.0
2018-01-14 14:47:00+00:00,13441.323196273994,13412.041598137,54.091214986471336,60.057455695248564,15.142556706052346,14.649344964010558,0.4932117420417885,57.5128176027314,63.50739493833303,1,1,0,0,0,0,13466.0,13473.0,13462.0,13488.0,13479.0,13000.0,12940.0,13227.0,13203.0
2018-01-14 14:48:00+00:00,13440.303196273993,13414.451598137,49.544118863101595,58.98658585125502,12.623326957318568,14.24414136267216,-1.6208144053535918,52.218574532368926,57.87839572714742,1,0,0,0,0,0,13451.0,13465.0,13450.0,13480.0,13463.0,13089.0,12984.0,13243.0,13220.0
2018-01-14 14:49:00+00:00,13439.882050129992,13416.681598137,53.732693858770155,58.194954340306055,11.702297074894886,13.735772505116705,-2.0334754302218183,49.77880415781594,53.17006543097259,1,0,0,0,0,0,13466.0,13469.0,13450.0,13478.0,13465.0,13091.0,13038.0,13243.0,13223.0
2018-01-14 14:50:00+00:00,13440.162050129993,13418.591598137,59.096041469496065,57.95226491407323,12.602318710318286,13.50908174615702,-0.9067630358387344,54.12663024477246,52.04133631165295,1,0,0,0,0,0,13488.0,13488.0,13454.0,13467.528536400001,13463.0,13060.0,13016.0,13243.0,13222.0
2018-01-14 14:51:00+00:00,13439.942050129992,13420.261598137,52.80376342014894,57.59465190866766,11.48863402342431,13.104992201610479,-1.616358178186168,55.017814027522505,52.97441614337081,1,0,0,0,0,0,13467.0,13495.0,13467.0,13462.6463437,13421.0,13025.0,12966.0,13230.0,13187.0
2018-01-14 14:52:00+00:00,13440.082050129993,13422.251598137,57.02733355929649,57.63655276567792,11.921061872457358,12.868206135779854,-0.947144263322496,57.99161398927428,55.712019420523596,1,0,0,0,0,0,13485.0,13494.0,13473.0,13435.0,13410.0,12986.0,12950.0,13220.0,13170.0
2018-01-14 14:53:00+00:00,13439.95201819999,13424.386582172001,58.03798014441829,57.60970718323537,12.482853066172538,12.79113552185839,-0.3082824556858519,58.1844427845834,57.06462360046058,1,0,0,0,0,0,13489.4984035,13494.0,13482.0,13414.0,13410.0,13073.0,12963.0,13247.0,13209.0
2018-01-14 14:54:00+00:00,13439.912018199992,13426.146582172001,57.87557130605452,57.207934842769454,12.740989442259888,12.781106305938689,-0.04011686367880074,58.87934865390788,58.351801809255704,1,0,0,0,0,0,13489.0,13497.0,13488.0,13424.0,13410.0,13081.0,13012.0,13237.0,13209.0
